metabolite,mass_isotopologue,independent_isotopomer
OAC,M+0,0.5
OAC,M+1,0.0
OAC,M+2,0.24999999999999997
OAC,M+3,0.16666666666666663
OAC,M+4,0.08333333333333331
citrate,M+0,0.0
citrate,M+1,0.0
citrate,M+2,0.5
citrate,M+3,0.0
citrate,M+4,0.24999999999999997
citrate,M+5,0.16666666666666663
citrate,M+6,0.08333333333333331
AKG,M+0,0.0
AKG,M+1,0.0
AKG,M+2,0.5
AKG,M+3,0.12499999999999999
AKG,M+4,0.24999999999999994
AKG,M+5,0.12499999999999996
glutamate,M+0,0.0
glutamate,M+1,0.0
glutamate,M+2,0.5
glutamate,M+3,0.12499999999999999
glutamate,M+4,0.24999999999999994
glutamate,M+5,0.12499999999999996
succinate,M+0,0.0
succinate,M+1,0.0
succinate,M+2,0.5
succinate,M+3,0.33333333333333326
succinate,M+4,0.16666666666666663
fumarate,M+0,0.3
fumarate,M+1,0.0
fumarate,M+2,0.35
fumarate,M+3,0.2333333333333333
fumarate,M+4,0.11666666666666664
