metabolite,mass_isotopologue,fluxemu_mfapy,independent_isotopomer
glucose_c,M+0,-0.0,
glucose_c,M+1,-0.0,
glucose_c,M+2,-0.0,
glucose_c,M+3,-0.0,
glucose_c,M+4,-0.0,
glucose_c,M+5,-0.0,
glucose_c,M+6,1.0,
G6P,M+0,-0.0,
G6P,M+1,-0.0,
G6P,M+2,-0.0,
G6P,M+3,-0.0,
G6P,M+4,-0.0,
G6P,M+5,-0.0,
G6P,M+6,1.0,
F6P,M+0,-0.0,
F6P,M+1,-0.0,
F6P,M+2,-0.0,
F6P,M+3,-0.0,
F6P,M+4,-0.0,
F6P,M+5,-0.0,
F6P,M+6,1.0,
FBP,M+0,-0.0,
FBP,M+1,-0.0,
FBP,M+2,-0.0,
FBP,M+3,-0.0,
FBP,M+4,-0.0,
FBP,M+5,-0.0,
FBP,M+6,1.0,
DHAP,M+0,-0.0,
DHAP,M+1,-0.0,
DHAP,M+2,-0.0,
DHAP,M+3,1.0,
GAP,M+0,-0.0,
GAP,M+1,-0.0,
GAP,M+2,-0.0,
GAP,M+3,1.0,
BPG,M+0,-0.0,
BPG,M+1,-0.0,
BPG,M+2,-0.0,
BPG,M+3,1.0,
3PG,M+0,-0.0,
3PG,M+1,-0.0,
3PG,M+2,-0.0,
3PG,M+3,1.0,
2PG,M+0,-0.0,
2PG,M+1,-0.0,
2PG,M+2,-0.0,
2PG,M+3,1.0,
PEP,M+0,-0.0,
PEP,M+1,-0.0,
PEP,M+2,-0.0,
PEP,M+3,1.0,
pyruvate,M+0,-0.0,
pyruvate,M+1,-0.0,
pyruvate,M+2,-0.0,
pyruvate,M+3,1.0,
AcCoA,M+0,-0.0,
AcCoA,M+1,-0.0,
AcCoA,M+2,1.0,
citrate,M+0,-0.0,0.0
citrate,M+1,-0.0,0.0
citrate,M+2,0.5,0.5
citrate,M+3,-0.0,0.0
citrate,M+4,0.25000000000000006,0.24999999999999997
citrate,M+5,0.16666666666666666,0.16666666666666663
citrate,M+6,0.08333333333333333,0.08333333333333331
AKG,M+0,-0.0,0.0
AKG,M+1,-0.0,0.0
AKG,M+2,0.5,0.5
AKG,M+3,0.12499999999999999,0.12499999999999999
AKG,M+4,0.24999999999999994,0.24999999999999994
AKG,M+5,0.12499999999999997,0.12499999999999996
succinate,M+0,-0.0,0.0
succinate,M+1,-0.0,0.0
succinate,M+2,0.5,0.5
succinate,M+3,0.3333333333333333,0.33333333333333326
succinate,M+4,0.16666666666666666,0.16666666666666663
fumarate,M+0,0.3,0.3
fumarate,M+1,-0.0,0.0
fumarate,M+2,0.35000000000000003,0.35
fumarate,M+3,0.2333333333333333,0.2333333333333333
fumarate,M+4,0.11666666666666665,0.11666666666666664
OAC,M+0,0.5,0.5
OAC,M+1,-0.0,0.0
OAC,M+2,0.25000000000000006,0.24999999999999997
OAC,M+3,0.16666666666666666,0.16666666666666663
OAC,M+4,0.08333333333333333,0.08333333333333331
glutamate,M+0,-0.0,0.0
glutamate,M+1,-0.0,0.0
glutamate,M+2,0.5,0.5
glutamate,M+3,0.12499999999999999,0.12499999999999999
glutamate,M+4,0.24999999999999994,0.24999999999999994
glutamate,M+5,0.12499999999999997,0.12499999999999996
