time,metabolite,mass_isotopologue,fraction
0,glucose_c,M+0,1
0,glucose_c,M+1,0
0,glucose_c,M+2,0
0,glucose_c,M+3,0
0,glucose_c,M+4,0
0,glucose_c,M+5,0
0,glucose_c,M+6,0
1,glucose_c,M+0,0.606383781951196
1,glucose_c,M+1,0
1,glucose_c,M+2,0
1,glucose_c,M+3,0
1,glucose_c,M+4,0
1,glucose_c,M+5,0
1,glucose_c,M+6,0.393616218048804
2,glucose_c,M+0,0.367991247390922
2,glucose_c,M+1,0
2,glucose_c,M+2,0
2,glucose_c,M+3,0
2,glucose_c,M+4,0
2,glucose_c,M+5,0
2,glucose_c,M+6,0.632008752609078
5,glucose_c,M+0,0.0821768005920287
5,glucose_c,M+1,0
5,glucose_c,M+2,0
5,glucose_c,M+3,0
5,glucose_c,M+4,0
5,glucose_c,M+5,0
5,glucose_c,M+6,0.917823199407971
10,glucose_c,M+0,0.00663539146304159
10,glucose_c,M+1,0
10,glucose_c,M+2,0
10,glucose_c,M+3,0
10,glucose_c,M+4,0
10,glucose_c,M+5,0
10,glucose_c,M+6,0.993364608536959
15,glucose_c,M+0,0.000540278253584748
15,glucose_c,M+1,0
15,glucose_c,M+2,0
15,glucose_c,M+3,0
15,glucose_c,M+4,0
15,glucose_c,M+5,0
15,glucose_c,M+6,0.999459721746415
20,glucose_c,M+0,4.49089069483272e-05
20,glucose_c,M+1,0
20,glucose_c,M+2,0
20,glucose_c,M+3,0
20,glucose_c,M+4,0
20,glucose_c,M+5,0
20,glucose_c,M+6,0.999955091093052
30,glucose_c,M+0,2.969055966809e-07
30,glucose_c,M+1,0
30,glucose_c,M+2,0
30,glucose_c,M+3,0
30,glucose_c,M+4,0
30,glucose_c,M+5,0
30,glucose_c,M+6,0.999999703094403
40,glucose_c,M+0,1.18114080397342e-09
40,glucose_c,M+1,0
40,glucose_c,M+2,0
40,glucose_c,M+3,0
40,glucose_c,M+4,0
40,glucose_c,M+5,0
40,glucose_c,M+6,0.999999998818859
60,glucose_c,M+0,1.6160083341172e-12
60,glucose_c,M+1,0
60,glucose_c,M+2,0
60,glucose_c,M+3,0
60,glucose_c,M+4,0
60,glucose_c,M+5,0
60,glucose_c,M+6,0.999999999998384
80,glucose_c,M+0,6.02120324280546e-12
80,glucose_c,M+1,0
80,glucose_c,M+2,0
80,glucose_c,M+3,0
80,glucose_c,M+4,0
80,glucose_c,M+5,0
80,glucose_c,M+6,0.999999999993979
120,glucose_c,M+0,4.112906035769e-13
120,glucose_c,M+1,0
120,glucose_c,M+2,0
120,glucose_c,M+3,0
120,glucose_c,M+4,0
120,glucose_c,M+5,0
120,glucose_c,M+6,0.999999999999589
160,glucose_c,M+0,3.83789891894124e-14
160,glucose_c,M+1,0
160,glucose_c,M+2,0
160,glucose_c,M+3,0
160,glucose_c,M+4,0
160,glucose_c,M+5,0
160,glucose_c,M+6,0.999999999999962
0,G6P,M+0,1
0,G6P,M+1,0
0,G6P,M+2,0
0,G6P,M+3,0
0,G6P,M+4,0
0,G6P,M+5,0
0,G6P,M+6,0
1,G6P,M+0,0.910069449719739
1,G6P,M+1,0
1,G6P,M+2,0
1,G6P,M+3,0
1,G6P,M+4,0
1,G6P,M+5,0
1,G6P,M+6,0.0899305502802608
2,G6P,M+0,0.735610446577895
2,G6P,M+1,0
2,G6P,M+2,0
2,G6P,M+3,0
2,G6P,M+4,0
2,G6P,M+5,0
2,G6P,M+6,0.264389553422105
5,G6P,M+0,0.287392639903089
5,G6P,M+1,0
5,G6P,M+2,0
5,G6P,M+3,0
5,G6P,M+4,0
5,G6P,M+5,0
5,G6P,M+6,0.712607360096911
10,G6P,M+0,0.0408858883181826
10,G6P,M+1,0
10,G6P,M+2,0
10,G6P,M+3,0
10,G6P,M+4,0
10,G6P,M+5,0
10,G6P,M+6,0.959114111681817
15,G6P,M+0,0.00468376002891125
15,G6P,M+1,0
15,G6P,M+2,0
15,G6P,M+3,0
15,G6P,M+4,0
15,G6P,M+5,0
15,G6P,M+6,0.995316239971089
20,G6P,M+0,0.000493081022590258
20,G6P,M+1,0
20,G6P,M+2,0
20,G6P,M+3,0
20,G6P,M+4,0
20,G6P,M+5,0
20,G6P,M+6,0.99950691897741
30,G6P,M+0,4.747562839514e-06
30,G6P,M+1,0
30,G6P,M+2,0
30,G6P,M+3,0
30,G6P,M+4,0
30,G6P,M+5,0
30,G6P,M+6,0.99999525243716
40,G6P,M+0,2.70615503948965e-08
40,G6P,M+1,0
40,G6P,M+2,0
40,G6P,M+3,0
40,G6P,M+4,0
40,G6P,M+5,0
40,G6P,M+6,0.99999997293845
60,G6P,M+0,1.0090277311905e-10
60,G6P,M+1,0
60,G6P,M+2,0
60,G6P,M+3,0
60,G6P,M+4,0
60,G6P,M+5,0
60,G6P,M+6,0.999999999899097
80,G6P,M+0,1.17196111964876e-10
80,G6P,M+1,0
80,G6P,M+2,0
80,G6P,M+3,0
80,G6P,M+4,0
80,G6P,M+5,0
80,G6P,M+6,0.999999999882804
120,G6P,M+0,5.18849608110818e-12
120,G6P,M+1,0
120,G6P,M+2,0
120,G6P,M+3,0
120,G6P,M+4,0
120,G6P,M+5,0
120,G6P,M+6,0.999999999994811
160,G6P,M+0,5.18023475086249e-13
160,G6P,M+1,0
160,G6P,M+2,0
160,G6P,M+3,0
160,G6P,M+4,0
160,G6P,M+5,0
160,G6P,M+6,0.999999999999482
0,F6P,M+0,1
0,F6P,M+1,0
0,F6P,M+2,0
0,F6P,M+3,0
0,F6P,M+4,0
0,F6P,M+5,0
0,F6P,M+6,0
1,F6P,M+0,0.985664730492684
1,F6P,M+1,0
1,F6P,M+2,0
1,F6P,M+3,0
1,F6P,M+4,0
1,F6P,M+5,0
1,F6P,M+6,0.0143352695073165
2,F6P,M+0,0.9196661714702
2,F6P,M+1,0
2,F6P,M+2,0
2,F6P,M+3,0
2,F6P,M+4,0
2,F6P,M+5,0
2,F6P,M+6,0.0803338285298002
5,F6P,M+0,0.543508042357868
5,F6P,M+1,0
5,F6P,M+2,0
5,F6P,M+3,0
5,F6P,M+4,0
5,F6P,M+5,0
5,F6P,M+6,0.456491957642132
10,F6P,M+0,0.124774483817851
10,F6P,M+1,0
10,F6P,M+2,0
10,F6P,M+3,0
10,F6P,M+4,0
10,F6P,M+5,0
10,F6P,M+6,0.875225516182149
15,F6P,M+0,0.0202297374947123
15,F6P,M+1,0
15,F6P,M+2,0
15,F6P,M+3,0
15,F6P,M+4,0
15,F6P,M+5,0
15,F6P,M+6,0.979770262505288
20,F6P,M+0,0.00273081976801839
20,F6P,M+1,0
20,F6P,M+2,0
20,F6P,M+3,0
20,F6P,M+4,0
20,F6P,M+5,0
20,F6P,M+6,0.997269180231982
30,F6P,M+0,3.81467920079225e-05
30,F6P,M+1,0
30,F6P,M+2,0
30,F6P,M+3,0
30,F6P,M+4,0
30,F6P,M+5,0
30,F6P,M+6,0.999961853207992
40,F6P,M+0,3.07607057963043e-07
40,F6P,M+1,0
40,F6P,M+2,0
40,F6P,M+3,0
40,F6P,M+4,0
40,F6P,M+5,0
40,F6P,M+6,0.999999692392942
60,F6P,M+0,1.72217505565595e-09
60,F6P,M+1,0
60,F6P,M+2,0
60,F6P,M+3,0
60,F6P,M+4,0
60,F6P,M+5,0
60,F6P,M+6,0.999999998277825
80,F6P,M+0,1.12603013944506e-09
80,F6P,M+1,0
80,F6P,M+2,0
80,F6P,M+3,0
80,F6P,M+4,0
80,F6P,M+5,0
80,F6P,M+6,0.99999999887397
120,F6P,M+0,2.29848327521406e-11
120,F6P,M+1,0
120,F6P,M+2,0
120,F6P,M+3,0
120,F6P,M+4,0
120,F6P,M+5,0
120,F6P,M+6,0.999999999977015
160,F6P,M+0,2.60193517312774e-12
160,F6P,M+1,0
160,F6P,M+2,0
160,F6P,M+3,0
160,F6P,M+4,0
160,F6P,M+5,0
160,F6P,M+6,0.999999999997398
0,FBP,M+0,1
0,FBP,M+1,0
0,FBP,M+2,0
0,FBP,M+3,0
0,FBP,M+4,0
0,FBP,M+5,0
0,FBP,M+6,0
1,FBP,M+0,0.99810558363546
1,FBP,M+1,0
1,FBP,M+2,0
1,FBP,M+3,0
1,FBP,M+4,0
1,FBP,M+5,0
1,FBP,M+6,0.00189441636453995
