source,purpose,sample_id,target,isotopologue,fraction
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Pyruvate,M+0,0.50007536761296012
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Pyruvate,M+1,0.0014648704614748358
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Pyruvate,M+2,0.00073572250089911891
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Pyruvate,M+3,0.49772403942465371
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Alanine,M+0,0.50007536761296012
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Alanine,M+1,0.0014648704614748358
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Alanine,M+2,0.00073572250089911891
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Alanine,M+3,0.49772403942465371
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Lactate,M+0,0.50007536761296012
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Lactate,M+1,0.0014648704614748358
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Lactate,M+2,0.00073572250089911891
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Lactate,M+3,0.49772403942465371
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Citrate,M+0,0.25003955592694749
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Citrate,M+1,0.0007732858934107169
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Citrate,M+2,0.24924556645087925
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Citrate,M+3,0.25001751174597892
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Citrate,M+4,0.0007549753795937764
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Citrate,M+5,0.24916910460316677
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Citrate,M+6,0
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,AKG,M+0,0.25003955609362921
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,AKG,M+1,0.00077351020760745839
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,AKG,M+2,0.49922659694472077
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,AKG,M+3,0.00077327274229513929
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,AKG,M+4,0.24918706401168614
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,AKG,M+5,0
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Succinate,M+0,0.98362257328721392
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Succinate,M+1,1.6884421556821297e-05
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Succinate,M+2,0.010902211975195659
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Succinate,M+3,1.6877221979353228e-05
frozen Stage A2 Theta1 state,isotope-engine positive programme fixture; NOT optimum or final native-HiGHS,theta1_sample_000,Succinate,M+4,0.0054414530941014529
