source,purpose,target,isotopologue,fraction
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Pyruvate,M+0,0.45887453218856344
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Pyruvate,M+1,0.041125467811436424
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Pyruvate,M+2,0.041125467811436424
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Pyruvate,M+3,0.45887453218856344
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Alanine,M+0,0.45887453218856344
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Alanine,M+1,0.041125467811436424
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Alanine,M+2,0.041125467811436424
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Alanine,M+3,0.45887453218856344
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Lactate,M+0,0.45887453218856344
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Lactate,M+1,0.041125467811436424
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Lactate,M+2,0.041125467811436424
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Lactate,M+3,0.45887453218856344
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Citrate,M+0,0.1315731801236952
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Citrate,M+1,0.062769325017072636
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Citrate,M+2,0.24969192087152109
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Citrate,M+3,0.19465058426924553
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Citrate,M+4,0.17377623560705685
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Citrate,M+5,0.13188125925217289
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Citrate,M+6,0.055657494859230952
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,AKG,M+0,0.15236832464998637
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,AKG,M+1,0.097631675350012423
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,AKG,M+2,0.332719436293827
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,AKG,M+3,0.16728056370617053
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,AKG,M+4,0.18035111164384066
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,AKG,M+5,0.069648888356158109
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Succinate,M+0,0.1663597181469135
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Succinate,M+1,0.16728056370617059
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Succinate,M+2,0.332719436293827
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Succinate,M+3,0.16728056370617059
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Succinate,M+4,0.1663597181469135
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Fumarate,M+0,0.1663597181469135
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Fumarate,M+1,0.16728056370617056
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Fumarate,M+2,0.332719436293827
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Fumarate,M+3,0.16728056370617056
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Fumarate,M+4,0.1663597181469135
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Malate,M+0,0.16635971814691353
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Malate,M+1,0.16728056370617059
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Malate,M+2,0.33271943629382705
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Malate,M+3,0.16728056370617059
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Malate,M+4,0.16635971814691353
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Glutamine,M+0,0.15236832464998615
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Glutamine,M+1,0.097631675350012298
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Glutamine,M+2,0.33271943629382661
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Glutamine,M+3,0.16728056370617034
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Glutamine,M+4,0.18035111164384043
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Glutamine,M+5,0.069648888356158012
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Aspartate,M+0,0.26314636024739058
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Aspartate,M+1,0.12553865003414535
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Aspartate,M+2,0.23623748149565194
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Aspartate,M+3,0.26376251850434596
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Aspartate,M+4,0.11131498971846196
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Glycine,M+0,0.45887453218856339
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Glycine,M+1,0.082250935622872862
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Glycine,M+2,0.45887453218856339
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Serine,M+0,0.45887453218856339
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Serine,M+1,0.041125467811436424
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Serine,M+2,0.041125467811436424
frozen Stage A2 flux vector,isotope-engine reference oracle; NOT final native-HiGHS acceptance,Serine,M+3,0.45887453218856339
