condition,projection_id,native_value,frozen_value,absolute_residual,tolerance,passed
biomass,pts_glucose_component,9.9999999999999929,9.9999999999999929,0,1e-9,true
biomass,pts_pep_component,9.9999999999999929,9.9999999999999929,0,1e-9,true
biomass,pgi_forward,4.8608611464968252,4.8608611464968252,0,1e-9,true
biomass,pgi_reverse,0,0,0,1e-9,true
biomass,pfk_forward,7.4773819621602824,7.4773819621602815,8.8817841970012523e-16,1e-9,true
biomass,fbp_forward,0,0,0,1e-9,true
biomass,fba_forward,7.4773819621602815,7.4773819621602815,0,1e-9,true
biomass,tpi_forward,7.4773819621602815,7.4773819621602815,0,1e-9,true
biomass,lower_glycolysis_gap_to_pga,16.023526143167597,16.023526143167597,0,1e-9,true
biomass,lower_glycolysis_pga_to_pep,14.716139568742824,14.716139568742824,0,1e-9,true
biomass,pyk_forward,1.7581774441067948,1.7581774441067948,0,1e-9,true
biomass,pps_forward,0,0,0,1e-9,true
biomass,pdh_forward,9.2825325991666201,9.2825325991666201,0,1e-9,true
biomass,tca_citrate_isocitrate,6.0072495753503397,6.0072495753503397,0,1e-9,true
biomass,icdh_forward,6.0072495753503405,6.0072495753503405,0,1e-9,true
biomass,akg_to_succinate,5.0643756614821038,5.0643756614821038,0,1e-9,true
biomass,succinate_to_fumarate,5.0643756614821047,5.0643756614821047,0,1e-9,true
biomass,fumarate_to_succinate,0,0,0,1e-9,true
biomass,fumarate_to_malate,5.0643756614821047,5.0643756614821047,0,1e-9,true
biomass,malate_to_fumarate,0,0,0,1e-9,true
biomass,malate_to_oaa,5.0643756614821038,5.0643756614821038,0,1e-9,true
biomass,oaa_to_malate,0,0,0,1e-9,true
biomass,glyoxylate_bypass,0,0,0,1e-9,true
biomass,oxidative_ppp_net,4.9599849445746385,4.9599849445746393,8.8817841970012523e-16,1e-9,true
biomass,gnd_forward,4.9599849445746376,4.9599849445746376,0,1e-9,true
biomass,rpi_ru5p_to_r5p,2.281503094067121,2.281503094067121,0,1e-9,true
biomass,rpe_forward,2.678481850507517,2.678481850507517,0,1e-9,true
biomass,rpe_reverse,0,0,0,1e-9,true
biomass,tkt1_forward,1.4969837572615603,1.4969837572615603,0,1e-9,true
biomass,tkt1_reverse,0,0,0,1e-9,true
biomass,tala_forward,1.4969837572615603,1.4969837572615603,0,1e-9,true
biomass,tala_reverse,0,0,0,1e-9,true
biomass,tkt2_forward,1.1814980932459582,1.1814980932459582,0,1e-9,true
biomass,tkt2_reverse,0,0,0,1e-9,true
biomass,ppc_forward,2.5043094703687232,2.5043094703687232,0,1e-9,true
biomass,ppck_forward,0,0,0,1e-9,true
biomass,me1_forward,0,0,0,1e-9,true
biomass,me2_forward,0,0,0,1e-9,true
biomass,acetate_overflow_net,0,0,0,1e-9,true
biomass,pfl_forward,0,0,0,1e-9,true
biomass,gln_to_glu,0,0,0,1e-9,true
biomass,glu_to_gln,0.22346172933182773,0.2234617293318277,2.7755575615628914e-17,1e-9,true
biomass,glu_to_akg,0,0,0,1e-9,true
biomass,akg_to_glu,4.5418574638656253,4.5418574638656244,8.8817841970012523e-16,1e-9,true
biomass,glusy_two_skeleton_production,0,0,0,1e-9,true
biomass,biomass_akg_product,3.5989835499973912,3.5989835499973912,0,1e-9,true
biomass,succinate_import_transport,0,0,0,1e-9,true
biomass,succinate_export_transport,0,0,0,1e-9,true
acetate,pts_glucose_component,10,10,0,1e-9,true
acetate,pts_pep_component,10,10,0,1e-9,true
acetate,pgi_forward,9.892507654642877,9.8925076546428752,1.7763568394002505e-15,1e-9,true
acetate,pgi_reverse,0,0,0,1e-9,true
acetate,pfk_forward,9.478426166211074,9.478426166211074,0,1e-9,true
acetate,fbp_forward,0,0,0,1e-9,true
acetate,fba_forward,9.4784261662110723,9.4784261662110723,0,1e-9,true
acetate,tpi_forward,9.4784261662110723,9.4784261662110723,0,1e-9,true
acetate,lower_glycolysis_gap_to_pga,18.606112674815421,18.606112674815421,0,1e-9,true
acetate,lower_glycolysis_pga_to_pep,17.821680730160519,17.821680730160519,0,1e-9,true
acetate,pyk_forward,6.0469034553788035,6.0469034553788044,8.8817841970012523e-16,1e-9,true
acetate,pps_forward,0,0,0,1e-9,true
acetate,pdh_forward,6.3891515942260177,6.3891515942260177,0,1e-9,true
acetate,tca_citrate_isocitrate,0.56572434832096974,0.56572434832096974,0,1e-9,true
acetate,icdh_forward,0.56572434832096974,0.56572434832096974,0,1e-9,true
acetate,akg_to_succinate,0,0,0,1e-9,true
acetate,succinate_to_fumarate,0,0,0,1e-9,true
acetate,fumarate_to_succinate,0,0,0,1e-9,true
acetate,fumarate_to_malate,0,0,0,1e-9,true
acetate,malate_to_fumarate,0,0,0,1e-9,true
acetate,malate_to_oaa,0,0,0,1e-9,true
acetate,oaa_to_malate,0,0,0,1e-9,true
acetate,glyoxylate_bypass,0,0,0,1e-9,true
acetate,oxidative_ppp_net,0,0,0,1e-9,true
acetate,gnd_forward,0,0,0,1e-9,true
acetate,rpi_ru5p_to_r5p,0.3769048675253639,0.3769048675253639,0,1e-9,true
acetate,rpe_forward,0,0,0,1e-9,true
acetate,rpe_reverse,0.37690486752536395,0.3769048675253639,5.5511151231257827e-17,1e-9,true
acetate,tkt1_forward,0,0,0,1e-9,true
acetate,tkt1_reverse,0.093806734557996152,0.093806734557996097,5.5511151231257827e-17,1e-9,true
acetate,tala_forward,0,0,0,1e-9,true
acetate,tala_reverse,0.093806734557996152,0.093806734557996097,5.5511151231257827e-17,1e-9,true
acetate,tkt2_forward,0,0,0,1e-9,true
acetate,tkt2_reverse,0.28309813296736769,0.28309813296736758,1.1102230246251565e-16,1e-9,true
acetate,ppc_forward,1.5025856822213113,1.5025856822213113,0,1e-9,true
acetate,ppck_forward,0,0,0,1e-9,true
acetate,me1_forward,0,0,0,1e-9,true
acetate,me2_forward,0,0,0,1e-9,true
acetate,acetate_overflow_net,12.030622385803783,12.030622385803785,1.7763568394002505e-15,1e-9,true
acetate,pfl_forward,8.1723649541886072,8.1723649541886072,0,1e-9,true
acetate,gln_to_glu,0,0,0,1e-9,true
acetate,glu_to_gln,0.13407703759910344,0.13407703759910339,5.5511151231257827e-17,1e-9,true
acetate,glu_to_akg,0,0,0,1e-9,true
acetate,akg_to_glu,2.7251144783195156,2.725114478319516,4.4408920985006262e-16,1e-9,true
acetate,glusy_two_skeleton_production,0,0,0,1e-9,true
acetate,biomass_akg_product,2.1593901299985445,2.1593901299985445,0,1e-9,true
acetate,succinate_import_transport,0,0,0,1e-9,true
acetate,succinate_export_transport,0,0,0,1e-9,true
